T	Y	obj
53.95833333	2.7685778	ME
60.79166667	2.8147256	ME
51.79166667	2.7522953	ME
58.20833333	2.8418718	ME
54.5	2.6983516	ME
63.16666667	2.8011274	ME
57.16666667	2.8281299	ME
62.33333333	2.8914155	ME
54.08333333	2.8638069	ME
71.54166667	2.9030297	ME
52.16666667	2.6890885	ME
69.20833333	2.8757521	ME
61.25	2.7629214	ME
63.83333333	2.8894735	ME
69.95833333	3.0014636	ME
48.95833333	2.8727645	ME
49.625	2.895663	ME
54.29166667	2.8215062	ME
57.16666667	2.838734	ME
64.66666667	2.8326079	ME
59.04166667	2.8832184	ME
67.95833333	2.9461662	ME
69.66666667	3.0734733	ME
66.33333333	3.0196298	ME
59.45833333	2.8741352	ME
70.5	3.1650518	ME
72.45833333	3.1723784	ME
67.125	3.0359056	ME
66.08333333	3.0047395	ME
61.79166667	2.9318498	ME
63.29166667	2.9998755	ME
63.79166667	2.9697238	ME
67.66666667	3.0572729	ME
64.375	3.0867919	ME
73.29166667	3.3200447	ME
69.33333333	3.5394244	ME
75.79166667	3.7531357	ME
81.70833333	3.7154189	ME
79.25	4.0322244	ME
77.29166667	3.71951	ME
71.70833333	3.4375131	ME
74.41666667	3.5802521	ME
71.29166667	3.3589139	ME
69.16666667	3.2247558	ME
68.75	3.2008717	ME
68.25	3.4308042	ME
69.58333333	3.4316975	ME
71.66666667	3.3493139	ME
68.04166667	3.1934564	ME
68.25	3.2656581	ME
72	3.5001751	ME
71.29166667	3.6019965	ME
72	3.6864621	ME
71.95833333	3.612864	ME
72.79166667	3.6724657	ME
70.58333333	3.4994368	ME
72.58333333	3.6035776	ME
70.375	3.5674364	ME
79.75	3.8636267	ME
77.83333333	3.9328417	ME
79.25	3.9881496	ME
81.33333333	4.1390621	ME
77.04166667	4.0211898	ME
77.91666667	3.966523	ME
74.875	3.6081033	ME
67.33333333	3.389951	ME
68.29166667	3.516213	ME
72.91666667	3.7013238	ME
75.875	3.6427166	ME
67.95833333	3.3256967	ME
66.04166667	3.212466	ME
63.91666667	3.1488182	ME
68.75	3.2663852	ME
67.25	3.1087182	ME
67.33333333	3.1684549	ME
75.16666667	3.5820504	ME
81.25	3.9798615	ME
80.625	4.0939556	ME
74.83333333	3.6800653	ME
62.83333333	3.0823141	ME
77.91666667	3.4384797	ME
76.45833333	3.6021492	ME
73.45833333	3.5095723	ME
76.45833333	3.605568	ME
64.25	3.030994	ME
55.58333333	2.8996075	ME
64.5	3.0546208	ME
67.45833333	3.0729182	ME
67.79166667	3.1382797	ME
66.33333333	3.1024361	ME
70.58333333	3.3267604	ME
70.125	3.298859	ME
61.20833333	2.9908914	ME
57.91666667	2.9096039	ME
60.04166667	2.9714112	ME
50.45833333	2.9317628	ME
52.54166667	3.1723994	ME
68.75	3.1007332	ME
62.70833333	2.9599401	ME
56.91666667	2.8852599	ME
52	2.9541329	ME
51.33333333	2.9811099	ME
55.33333333	2.9763638	ME
60.29166667	2.956215	ME
53.625	2.9077463	ME
50.29166667	2.9878349	ME
66.16666667	3.0317013	ME
71.58333333	3.1070597	ME
52.58333333	3.0480899	ME
52.16666667	3.013475	ME
48.16666667	3.0761392	ME
50.58333333	2.9022375	ME
45.83333333	3.0693	ME
38.16666667	3.0962948	ME
44.75	3.0027248	ME
38.58333333	3.059282	ME
43.41666667	3.0792797	ME
41.75	3.1245789	ME
37.95833333	3.1715816	ME
34.79166667	3.1083623	ME
44.58333333	3.0442406	ME
41.70833333	3.0237689	ME
40.08333333	3.0239901	ME
46.75	3.0259953	ME
48.70833333	3.0050267	ME
37.75	3.152927	ME
45.875	3.0196926	ME
53.125	2.8842883	ME
46.70833333	2.9265019	ME
40.25	3.004148	ME
33.58333333	3.1893869	ME
40.95833333	3.1841615	ME
25.625	3.3615948	ME
24.45833333	3.3689876	ME
30.58333333	3.3885338	ME
33.04166667	3.3237978	ME
32.125	3.3669391	ME
28.04166667	3.3865092	ME
12.08333333	3.3058915	ME
18.41666667	3.3573581	ME
35.25	3.2147605	ME
36.58333333	3.2197579	ME
36.125	3.1760478	ME
37.66666667	3.2380598	ME
33.95833333	3.1845719	ME
41.29166667	3.2074431	ME
30	3.3818422	ME
