T,Y,obj
0.28,8.573948260302611,CT
0.29,8.46502043858689,CT
0.3,8.358273926800587,CT
0.31,8.258579057807173,CT
0.32,8.169067859837963,CT
0.33,8.090747312610562,CT
0.34,8.022531759178204,CT
0.35,7.9616646248118474,CT
0.36,7.904427264907993,CT
0.37,7.846983709178828,CT
0.38,7.786193171337675,CT
0.39,7.720238950898183,CT
0.4,7.6489669440355295,CT
0.41,7.573888151780375,CT
0.42,7.497863755076908,CT
0.43,7.424546011577865,CT
0.44,7.357684669001566,CT
0.45,7.3004231105413595,CT
0.46,7.254702209294016,CT
0.47,7.220867388502159,CT
0.48,7.19754151252067,CT
0.49,7.181788357726821,CT
0.5,7.169552486208181,CT
0.51,7.1563239434665755,CT
0.52,7.137942387862909,CT
0.53,7.111427713173038,CT
0.54,7.0757069764823495,CT
0.55,7.032105697935874,CT
0.56,6.984490477113589,CT
0.57,6.938992317173326,CT
0.58,6.903304561973612,CT
0.59,6.885628412118159,CT
0.6,6.893418987570422,CT
0.61,6.93214808102432,CT
0.62,7.004327983094796,CT
0.63,7.109020532027696,CT
0.64,7.241982666801792,CT
0.65,7.396482462511709,CT
0.66,7.5646786003195805,CT
0.67,7.739321204854885,CT
0.68,7.915435233130242,CT
0.69,8.091615841101705,CT
0.7,8.270612088108086,CT
0.71,8.458996984946708,CT
0.72,8.665896297608434,CT
0.73,8.900940208564503,CT
0.74,9.171770053306473,CT
0.75,9.481540354613454,CT
